Latitude (decimal degrees):	50.947
Longitude (decimal degrees):	4.827
Elevation (m):	23
Radiation database:	PVGIS-SARAH2


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050307:1510,26.36,44.5,19.57,5.13,4.34,0.0
20050307:1610,36.96,57.48,11.39,5.11,3.79,0.0
20050307:1710,7.11,18.54,2.39,4.31,3.52,0.0
20050307:1810,0.0,0.0,0.0,3.66,3.66,0.0
20050307:1910,0.0,0.0,0.0,3.4,3.86,0.0
20050307:2010,0.0,0.0,0.0,3.43,4.21,0.0
20050307:2110,0.0,0.0,0.0,3.42,3.86,0.0
20050307:2210,0.0,0.0,0.0,3.14,3.79,0.0
20050307:2310,0.0,0.0,0.0,3.07,3.72,0.0
20050308:0010,0.0,0.0,0.0,2.71,3.66,0.0
20050308:0110,0.0,0.0,0.0,2.15,3.38,0.0
20050308:0210,0.0,0.0,0.0,2.12,3.24,0.0
20050308:0310,0.0,0.0,0.0,1.95,3.17,0.0
20050308:0410,0.0,0.0,0.0,2.18,3.24,0.0
20050308:0510,0.0,0.0,0.0,2.31,3.24,0.0
20050308:0610,0.0,0.0,0.0,2.54,3.24,0.0
20050308:0710,15.33,30.48,8.35,3.08,3.93,0.0
20050308:0810,33.42,52.85,16.92,3.41,4.28,0.0
20050308:0910,64.13,89.0,24.36,4.47,5.03,0.0
20050308:1010,87.7,115.89,30.09,4.92,4.83,0.0
20050308:1110,45.39,67.68,33.47,5.85,5.17,0.0
20050308:1210,77.41,104.76,34.02,6.13,5.24,0.0
20050308:1310,29.96,49.14,31.66,6.17,5.52,0.0
20050308:1410,74.18,101.05,26.75,6.07,5.38,0.0
20050308:1510,60.47,85.29,19.88,5.97,5.52,0.0
20050308:1610,36.89,57.48,11.67,5.64,5.1,0.0
20050308:1710,11.78,26.53,2.65,5.17,4.76,0.0
20050308:1810,0.0,0.0,0.0,4.52,4.41,0.0
20050308:1910,0.0,0.0,0.0,3.84,4.14,0.0
20050308:2010,0.0,0.0,0.0,3.81,4.14,0.0
20050308:2110,0.0,0.0,0.0,3.94,4.21,0.0
20050308:2210,0.0,0.0,0.0,4.13,4.28,0.0
20050308:2310,0.0,0.0,0.0,4.15,4.28,0.0
20050309:0010,0.0,0.0,0.0,4.14,4.14,0.0
20050309:0110,0.0,0.0,0.0,3.87,3.86,0.0
20050309:0210,0.0,0.0,0.0,3.94,3.93,0.0
20050309:0310,0.0,0.0,0.0,3.86,4.14,0.0
20050309:0410,0.0,0.0,0.0,3.54,3.86,0.0
20050309:0510,0.0,0.0,0.0,3.01,3.24,0.0
20050309:0610,0.0,0.0,0.0,2.54,3.31,0.0
20050309:0710,15.13,30.01,8.7,3.38,4.0,0.0
20050309:0810,44.25,65.82,17.28,3.82,4.48,0.0
20050309:0910,64.19,89.0,24.74,4.19,4.55,0.0
20050309:1010,47.98,70.46,30.48,4.88,5.03,0.0
20050309:1110,140.53,175.26,33.86,5.74,4.9,0.0
20050309:1210,166.34,204.19,34.41,6.05,4.34,0.0
20050309:1310,119.28,152.05,32.03,6.19,4.34,0.0
20050309:1410,42.91,64.9,27.08,6.41,4.34,0.0
20050309:1510,38.24,59.33,20.18,6.55,4.41,0.0
20050309:1610,58.35,83.24,11.96,6.35,3.52,0.0
20050309:1710,11.61,26.23,2.92,5.54,3.03,0.0
20050309:1810,0.0,0.0,0.0,4.52,2.9,0.0
20050309:1910,0.0,0.0,0.0,3.66,2.55,0.0
20050309:2010,0.0,0.0,0.0,2.95,2.41,0.0
20050309:2110,0.0,0.0,0.0,2.84,2.21,0.0
20050309:2210,0.0,0.0,0.0,2.51,1.79,0.0
20050309:2310,0.0,0.0,0.0,1.91,1.72,0.0
20050310:0010,0.0,0.0,0.0,1.44,1.66,0.0
20050310:0110,0.0,0.0,0.0,1.08,1.59,0.0
20050310:0210,0.0,0.0,0.0,0.87,1.31,0.0
20050310:0310,0.0,0.0,0.0,0.75,1.1,0.0
20050310:0410,0.0,0.0,0.0,0.4,1.1,0.0
20050310:0510,0.0,0.0,0.0,0.37,0.9,0.0
20050310:0610,0.0,0.0,0.0,0.42,0.83,0.0
20050310:0710,9.13,21.32,9.05,1.17,0.9,0.0
20050310:0810,126.58,158.35,17.65,2.28,0.83,0.0
20050310:0910,152.32,187.12,25.12,3.12,0.97,0.0
20050310:1010,400.54,466.96,30.87,3.92,1.38,0.0
20050310:1110,507.21,596.77,34.26,4.73,1.45,0.0
20050310:1210,494.38,582.09,34.8,5.19,1.59,0.0
20050310:1310,519.61,612.69,32.39,5.52,1.72,0.0
20050310:1410,543.18,640.98,27.42,5.91,1.93,0.0
20050310:1510,219.89,264.74,20.49,6.08,1.79,0.0
20050310:1610,100.75,132.84,12.24,6.02,1.66,0.0
20050310:1710,51.58,95.94,3.19,5.34,1.52,0.0
20050310:1810,0.0,0.0,0.0,4.01,2.07,0.0
20050310:1910,0.0,0.0,0.0,3.03,2.14,0.0
20050310:2010,0.0,0.0,0.0,2.04,2.07,0.0
20050310:2110,0.0,0.0,0.0,1.35,2.14,0.0
20050310:2210,0.0,0.0,0.0,1.09,2.21,0.0
20050310:2310,0.0,0.0,0.0,0.5,2.48,0.0
20050311:0010,0.0,0.0,0.0,0.67,2.69,0.0
20050311:0110,0.0,0.0,0.0,0.77,2.97,0.0
20050311:0210,0.0,0.0,0.0,0.69,3.45,0.0
20050311:0310,0.0,0.0,0.0,0.68,4.0,0.0
20050311:0410,0.0,0.0,0.0,0.99,4.62,0.0
20050311:0510,0.0,0.0,0.0,1.43,5.17,0.0
20050311:0610,0.0,0.0,0.0,1.87,5.45,0.0
20050311:0710,3.16,12.05,9.41,2.7,5.72,0.0
20050311:0810,13.64,27.81,18.01,3.66,5.45,0.0
20050311:0910,33.26,52.85,25.5,4.51,5.66,0.0
20050311:1010,25.54,43.57,31.26,5.94,7.24,0.0
20050311:1110,56.23,80.66,34.66,7.1,8.41,0.0
20050311:1210,52.95,76.95,35.18,7.41,7.52,0.0
20050311:1310,45.69,68.61,32.76,8.34,9.03,0.0
20050311:1410,39.51,61.19,27.75,8.23,8.28,0.0
20050311:1510,17.42,33.38,20.79,8.07,8.07,0.0
20050311:1610,6.38,17.62,12.52,7.63,7.31,0.0
20050311:1710,18.03,35.84,3.46,7.26,7.1,0.0
20050311:1810,0.0,0.0,0.0,6.73,7.1,0.0
20050311:1910,0.0,0.0,0.0,6.01,6.97,0.0
20050311:2010,0.0,0.0,0.0,5.66,7.1,0.0
20050311:2110,0.0,0.0,0.0,4.89,6.69,0.0
20050311:2210,0.0,0.0,0.0,4.41,6.07,0.0
20050311:2310,0.0,0.0,0.0,3.91,5.31,0.0
20050312:0010,0.0,0.0,0.0,3.33,4.62,0.0
20050312:0110,0.0,0.0,0.0,3.01,4.14,0.0
20050312:0210,0.0,0.0,0.0,2.84,4.21,0.0
20050312:0310,0.0,0.0,0.0,2.22,4.76,0.0
20050312:0410,0.0,0.0,0.0,1.76,4.48,0.0
20050312:0510,0.0,0.0,0.0,1.21,4.21,0.0
20050312:0610,0.0,0.0,0.0,0.57,3.93,0.0
20050312:0710,3.2,12.05,9.76,0.8,4.0,0.0
20050312:0810,188.7,224.29,18.38,1.59,3.93,0.0
20050312:0910,104.55,133.54,25.88,2.76,4.34,0.0
20050312:1010,209.5,248.77,31.66,3.91,4.83,0.0
20050312:1110,423.25,485.15,35.06,4.85,5.52,0.0
20050312:1210,344.58,398.1,35.57,5.27,6.07,0.0
20050312:1310,27.82,46.36,33.12,5.5,6.41,0.0
20050312:1410,76.98,103.84,28.08,5.33,6.83,0.0
20050312:1510,82.0,109.4,21.1,5.17,7.52,0.0
20050312:1610,37.85,58.41,12.8,4.72,6.48,0.0
20050312:1710,22.3,41.65,3.73,4.13,5.86,0.0
20050312:1810,0.0,0.0,0.0,3.31,5.17,0.0
20050312:1910,0.0,0.0,0.0,2.45,5.17,0.0
20050312:2010,0.0,0.0,0.0,2.28,4.9,0.0
20050312:2110,0.0,0.0,0.0,2.09,4.69,0.0
20050312:2210,0.0,0.0,0.0,1.86,4.48,0.0
20050312:2310,0.0,0.0,0.0,1.78,4.48,0.0
20050313:0010,0.0,0.0,0.0,1.6,4.62,0.0
20050313:0110,0.0,0.0,0.0,1.6,4.69,0.0
20050313:0210,0.0,0.0,0.0,1.77,4.55,0.0
20050313:0310,0.0,0.0,0.0,1.72,4.28,0.0
20050313:0410,0.0,0.0,0.0,1.45,3.93,0.0
20050313:0510,0.0,0.0,0.0,1.16,3.45,0.0
20050313:0610,0.0,0.0,0.0,0.6,2.97,0.0
20050313:0710,51.21,75.67,10.12,0.74,2.83,0.0
20050313:0810,133.84,165.44,18.75,2.15,2.83,0.0
20050313:0910,199.75,238.52,26.26,3.89,2.97,0.0
20050313:1010,342.05,397.93,32.05,5.54,3.59,0.0
20050313:1110,147.6,183.54,35.46,6.26,4.83,0.0
20050313:1210,324.99,379.56,35.96,6.74,5.52,0.0
20050313:1310,125.55,159.46,33.48,7.19,5.79,0.0
20050313:1410,227.96,272.49,28.41,7.31,5.52,0.0
20050313:1510,45.91,68.61,21.4,7.01,5.1,0.0
20050313:1610,93.46,124.02,13.08,6.62,4.48,0.0
20050313:1710,39.6,70.73,3.99,5.82,3.1,0.0
20050313:1810,0.0,0.0,0.0,4.26,2.21,0.0
20050313:1910,0.0,0.0,0.0,3.73,1.93,0.0
20050313:2010,0.0,0.0,0.0,3.25,2.0,0.0
20050313:2110,0.0,0.0,0.0,2.54,2.21,0.0
20050313:2210,0.0,0.0,0.0,2.35,2.28,0.0
20050313:2310,0.0,0.0,0.0,2.21,2.41,0.0
20050314:0010,0.0,0.0,0.0,2.12,2.48,0.0
20050314:0110,0.0,0.0,0.0,1.35,2.62,0.0
20050314:0210,0.0,0.0,0.0,0.74,2.69,0.0
20050314:0310,0.0,0.0,0.0,0.49,2.62,0.0
20050314:0410,0.0,0.0,0.0,0.08,2.55,0.0
20050314:0510,0.0,0.0,0.0,-0.24,2.48,0.0
20050314:0610,0.0,0.0,0.0,-0.49,2.41,0.0
20050314:0710,6.65,17.62,10.47,0.62,2.21,0.0
20050314:0810,58.02,81.57,19.11,2.69,2.41,0.0
20050314:0910,167.82,204.55,26.64,4.66,2.76,0.0
20050314:1010,166.72,204.87,32.45,6.13,3.31,0.0
20050314:1110,152.56,189.99,35.86,7.18,4.0,0.0
20050314:1210,141.48,178.0,36.35,7.68,4.21,0.0
20050314:1310,217.8,262.94,33.85,7.81,4.41,0.0
20050314:1410,89.65,119.6,28.74,7.91,4.28,0.0
20050314:1510,71.05,98.27,21.7,7.75,3.66,0.0
20050314:1610,25.29,43.57,13.36,7.52,2.76,0.0
20050314:1710,3.58,12.98,4.26,6.94,2.0,0.0
20050314:1810,0.0,0.0,0.0,6.19,1.79,0.0
20050314:1910,0.0,0.0,0.0,5.44,1.66,0.0
20050314:2010,0.0,0.0,0.0,4.39,1.86,0.0
20050314:2110,0.0,0.0,0.0,3.22,2.0,0.0
20050314:2210,0.0,0.0,0.0,2.15,2.21,0.0
20050314:2310,0.0,0.0,0.0,1.36,2.34,0.0
20050315:0010,0.0,0.0,0.0,0.97,2.55,0.0
20050315:0110,0.0,0.0,0.0,0.85,2.76,0.0
20050315:0210,0.0,0.0,0.0,0.86,2.83,0.0
20050315:0310,0.0,0.0,0.0,0.9,2.9,0.0
20050315:0410,0.0,0.0,0.0,0.93,3.03,0.0
20050315:0510,0.0,0.0,0.0,1.17,3.24,0.0
20050315:0610,0.0,0.0,0.0,1.31,3.38,0.0
20050315:0710,103.48,140.62,10.83,2.8,3.59,0.0
20050315:0810,323.72,377.95,19.48,4.81,3.52,0.0
20050315:0910,534.86,619.87,27.03,6.97,4.21,0.0
20050315:1010,682.92,803.7,32.85,8.96,4.83,0.0
20050315:1110,718.39,854.05,36.26,10.47,5.24,0.0
20050315:1210,834.42,1004.36,36.74,11.5,5.66,0.0
20050315:1310,777.21,933.7,34.21,12.17,5.66,0.0
20050315:1410,632.42,753.55,29.07,12.57,5.52,0.0
20050315:1510,370.29,442.57,22.0,12.71,5.38,0.0
20050315:1610,273.44,342.33,13.64,12.47,4.69,0.0
20050315:1710,34.5,61.9,4.52,11.5,4.21,0.0
20050315:1810,0.0,0.0,0.0,10.32,4.0,0.0
20050315:1910,0.0,0.0,0.0,10.0,3.52,0.0
20050315:2010,0.0,0.0,0.0,9.39,3.45,0.0
20050315:2110,0.0,0.0,0.0,8.56,3.59,0.0
20050315:2210,0.0,0.0,0.0,8.37,4.0,0.0
20050315:2310,0.0,0.0,0.0,8.29,4.34,0.0
20050316:0010,0.0,0.0,0.0,8.31,4.55,0.0
20050316:0110,0.0,0.0,0.0,8.69,4.62,0.0
20050316:0210,0.0,0.0,0.0,8.5,4.48,0.0
20050316:0310,0.0,0.0,0.0,8.06,4.34,0.0
20050316:0410,0.0,0.0,0.0,7.58,4.21,0.0
20050316:0510,0.0,0.0,0.0,7.27,4.21,0.0
20050316:0610,0.0,0.0,0.0,7.1,4.21,0.0
20050316:0710,87.31,122.94,11.19,8.86,4.69,0.0
20050316:0810,265.9,320.37,19.85,10.51,4.14,0.0
20050316:0910,449.78,532.72,27.41,12.48,4.97,0.0
20050316:1010,614.51,737.38,33.24,14.34,5.31,0.0
20050316:1110,511.09,616.19,36.66,15.87,5.59,0.0
20050316:1210,566.82,688.22,37.13,16.88,5.66,0.0
20050316:1310,635.25,776.72,34.57,17.57,5.59,0.0
20050316:1410,639.48,783.12,29.4,18.01,5.52,0.0
20050316:1510,483.28,591.82,22.3,18.09,5.17,0.0
20050316:1610,286.67,367.37,13.91,17.59,4.55,0.0
20050316:1710,75.8,143.55,4.79,16.44,4.28,0.0
20050316:1810,0.0,0.0,0.0,14.95,4.41,0.0
20050316:1910,0.0,0.0,0.0,15.3,5.52,0.0
20050316:2010,0.0,0.0,0.0,14.94,5.79,0.0
20050316:2110,0.0,0.0,0.0,14.71,5.79,0.0
20050316:2210,0.0,0.0,0.0,14.32,5.38,0.0
20050316:2310,0.0,0.0,0.0,13.85,5.1,0.0
20050317:0010,0.0,0.0,0.0,12.62,4.97,0.0
20050317:0110,0.0,0.0,0.0,12.0,5.1,0.0
20050317:0210,0.0,0.0,0.0,11.92,5.52,0.0
20050317:0310,0.0,0.0,0.0,12.09,5.66,0.0
20050317:0410,0.0,0.0,0.0,12.22,5.72,0.0
20050317:0510,0.0,0.0,0.0,12.26,5.79,0.0
20050317:0610,0.0,0.0,0.0,12.14,5.93,0.0
20050317:0710,40.01,63.76,11.55,12.26,6.48,0.0
20050317:0810,75.06,104.58,20.22,12.36,6.34,0.0
20050317:0910,87.01,118.67,27.8,12.6,6.21,0.0
20050317:1010,115.87,152.05,33.64,12.75,6.28,0.0
20050317:1110,356.75,425.43,37.06,13.31,7.24,0.0
20050317:1210,514.26,609.81,37.52,14.11,7.93,0.0
20050317:1310,640.4,765.45,34.93,14.73,7.24,0.0
20050317:1410,474.79,567.53,29.73,15.25,6.83,0.0
20050317:1510,499.63,600.48,22.6,15.18,6.28,0.0
20050317:1610,312.69,394.12,14.19,14.7,5.24,0.0
20050317:1710,53.94,96.38,5.05,13.69,4.76,0.0
20050317:1810,0.0,0.0,0.0,12.2,4.28,0.0
20050317:1910,0.0,0.0,0.0,11.07,4.41,0.0
20050317:2010,0.0,0.0,0.0,10.21,4.28,0.0
20050317:2110,0.0,0.0,0.0,9.43,4.14,0.0
20050317:2210,0.0,0.0,0.0,9.15,4.14,0.0
20050317:2310,0.0,0.0,0.0,8.68,3.93,0.0
20050318:0010,0.0,0.0,0.0,8.31,3.79,0.0
20050318:0110,0.0,0.0,0.0,8.0,3.72,0.0
20050318:0210,0.0,0.0,0.0,7.76,3.66,0.0
20050318:0310,0.0,0.0,0.0,7.5,3.66,0.0
20050318:0410,0.0,0.0,0.0,7.45,3.66,0.0
20050318:0510,0.0,0.0,0.0,7.3,3.52,0.0
20050318:0610,0.0,0.0,0.0,6.99,3.38,0.0
20050318:0710,33.79,54.46,11.91,7.14,3.86,0.0
20050318:0810,63.03,88.89,20.6,7.58,3.86,0.0
20050318:0910,102.33,134.33,28.19,8.44,3.72,0.0
20050318:1010,170.16,211.87,34.04,9.79,3.86,0.0
20050318:1110,313.26,375.94,37.46,11.25,3.93,0.0
20050318:1210,659.25,797.83,37.91,12.77,4.07,0.0
20050318:1310,735.1,899.88,35.3,13.78,4.07,0.0
20050318:1410,673.13,821.32,30.06,14.35,3.93,0.0
20050318:1510,421.88,511.6,22.9,14.52,3.66,0.0
20050318:1610,301.69,382.37,14.47,14.3,3.1,0.0
20050318:1710,71.21,129.46,5.32,13.52,2.28,0.0
20050318:1810,0.0,0.0,0.0,12.03,2.07,0.0
20050318:1910,0.0,0.0,0.0,11.13,1.93,0.0
20050318:2010,0.0,0.0,0.0,10.1,1.93,0.0
20050318:2110,0.0,0.0,0.0,9.39,1.79,0.0
20050318:2210,0.0,0.0,0.0,8.94,1.86,0.0
20050318:2310,0.0,0.0,0.0,8.75,1.79,0.0
20050319:0010,0.0,0.0,0.0,8.51,1.66,0.0
20050319:0110,0.0,0.0,0.0,8.15,1.52,0.0
20050319:0210,0.0,0.0,0.0,7.82,1.38,0.0
20050319:0310,0.0,0.0,0.0,7.63,1.1,0.0
20050319:0410,0.0,0.0,0.0,7.58,0.97,0.0
20050319:0510,0.0,0.0,0.0,7.48,1.1,0.0
20050319:0610,0.0,0.0,0.0,7.54,1.31,0.0
20050319:0710,104.48,143.1,12.27,7.57,1.17,0.0
20050319:0810,16.65,32.45,20.97,8.43,1.45,0.0
20050319:0910,74.18,102.91,28.57,9.55,1.52,0.0
20050319:1010,62.78,89.93,34.44,10.61,1.52,0.0
20050319:1110,137.18,177.08,37.87,11.55,1.45,0.0
20050319:1210,162.96,207.48,38.3,12.46,1.72,0.0
20050319:1310,161.45,205.56,35.66,12.64,2.14,0.0
20050319:1410,113.7,150.19,30.39,12.51,2.28,0.0
20050319:1510,97.8,131.56,23.19,12.26,2.14,0.0
20050319:1610,110.09,146.67,14.74,12.02,2.14,0.0
20050319:1710,33.57,58.07,5.58,11.66,2.07,0.0
20050319:1810,0.0,0.0,0.0,10.98,1.93,0.0
20050319:1910,0.0,0.0,0.0,10.72,1.72,0.0
20050319:2010,0.0,0.0,0.0,10.45,1.72,0.0
20050319:2110,0.0,0.0,0.0,10.05,1.86,0.0
20050319:2210,0.0,0.0,0.0,9.76,1.93,0.0
20050319:2310,0.0,0.0,0.0,9.6,2.0,0.0
20050320:0010,0.0,0.0,0.0,9.54,2.14,0.0
20050320:0110,0.0,0.0,0.0,9.38,2.21,0.0
20050320:0210,0.0,0.0,0.0,9.11,2.07,0.0
20050320:0310,0.0,0.0,0.0,8.64,2.0,0.0
20050320:0410,0.0,0.0,0.0,8.27,2.14,0.0
20050320:0510,0.0,0.0,0.0,7.64,2.41,0.0
20050320:0610,0.0,0.0,0.0,7.27,2.69,0.0
20050320:0710,16.02,31.52,12.63,7.96,2.76,0.0
20050320:0810,106.43,138.98,21.34,8.49,3.03,0.0
20050320:0910,253.01,303.77,28.96,8.92,2.97,0.0
20050320:1010,348.04,414.42,34.84,9.6,2.76,0.0
20050320:1110,541.13,647.62,38.27,10.13,2.76,0.0
20050320:1210,596.51,718.61,38.69,10.71,2.9,0.0
20050320:1310,571.2,686.43,36.02,11.24,3.17,0.0
20050320:1410,348.84,418.48,30.71,11.76,3.38,0.0
20050320:1510,234.35,286.8,23.49,11.91,3.52,0.0
20050320:1610,125.22,163.84,15.01,11.72,3.66,0.0
20050320:1710,53.72,88.01,5.84,11.15,3.03,0.0
20050320:1810,0.0,0.0,0.0,10.08,3.03,0.0
20050320:1910,0.0,0.0,0.0,9.72,3.1,0.0
20050320:2010,0.0,0.0,0.0,9.09,3.03,0.0
20050320:2110,0.0,0.0,0.0,8.46,2.9,0.0
20050320:2210,0.0,0.0,0.0,7.99,2.83,0.0
20050320:2310,0.0,0.0,0.0,7.46,2.76,0.0
20050321:0010,0.0,0.0,0.0,6.9,2.55,0.0
20050321:0110,0.0,0.0,0.0,6.26,2.55,0.0
20050321:0210,0.0,0.0,0.0,5.7,2.55,0.0
20050321:0310,0.0,0.0,0.0,5.21,2.34,0.0
20050321:0410,0.0,0.0,0.0,4.66,2.34,0.0
20050321:0510,0.0,0.0,0.0,4.14,2.55,0.0
20050321:0610,0.0,0.0,0.0,3.82,2.76,0.0
20050321:0710,101.71,136.78,12.99,4.97,2.55,0.0
20050321:0810,332.61,392.36,21.71,7.26,3.17,0.0
20050321:0910,484.54,569.62,29.35,9.55,3.86,0.0
20050321:1010,672.35,807.27,35.24,11.83,4.14,0.0
20050321:1110,751.53,919.16,38.67,13.83,4.34,0.0
20050321:1210,777.35,960.98,39.07,15.3,4.41,0.0
20050321:1310,704.78,867.25,36.38,16.28,4.62,0.0
20050321:1410,641.38,784.61,31.04,16.75,4.83,0.0
20050321:1510,483.3,588.85,23.78,16.68,4.83,0.0
20050321:1610,247.86,315.68,15.29,16.01,4.21,0.0
20050321:1710,43.49,72.72,6.1,14.59,4.0,0.0
20050321:1810,0.0,0.0,0.0,12.87,4.0,0.0
20050321:1910,0.0,0.0,0.0,12.37,3.93,0.0
20050321:2010,0.0,0.0,0.0,11.47,3.72,0.0
20050321:2110,0.0,0.0,0.0,10.7,3.52,0.0
20050321:2210,0.0,0.0,0.0,10.21,3.38,0.0
20050321:2310,0.0,0.0,0.0,9.88,3.38,0.0
20050322:0010,0.0,0.0,0.0,9.67,3.45,0.0
20050322:0110,0.0,0.0,0.0,9.5,3.45,0.0
20050322:0210,0.0,0.0,0.0,9.56,3.45,0.0
20050322:0310,0.0,0.0,0.0,9.66,3.52,0.0
20050322:0410,0.0,0.0,0.0,9.74,3.59,0.0
20050322:0510,0.0,0.0,0.0,9.79,3.66,0.0
20050322:0610,0.0,0.0,0.0,9.74,3.66,0.0
20050322:0710,87.57,121.99,13.36,10.64,3.93,0.0
20050322:0810,156.28,198.15,22.09,12.32,3.24,0.0
20050322:0910,341.68,411.94,29.73,14.25,4.34,0.0
20050322:1010,347.86,422.02,35.64,15.65,4.97,0.0
20050322:1110,409.06,497.44,39.07,16.72,5.03,0.0
20050322:1210,166.02,213.9,39.46,17.29,5.03,0.0
20050322:1310,299.29,368.97,36.73,17.5,5.24,0.0
20050322:1410,94.39,129.79,31.36,17.28,5.59,0.0
20050322:1510,34.99,57.48,24.08,16.0,4.21,0.0
20050322:1610,35.2,57.48,15.56,14.77,3.93,0.0
20050322:1710,36.6,61.37,6.36,13.75,4.0,0.0
20050322:1810,0.0,0.0,0.0,13.13,3.86,0.0
20050322:1910,0.0,0.0,0.0,12.61,3.52,0.0
20050322:2010,0.0,0.0,0.0,12.08,3.38,0.0
20050322:2110,0.0,0.0,0.0,11.55,3.59,0.0
20050322:2210,0.0,0.0,0.0,11.42,3.93,0.0
20050322:2310,0.0,0.0,0.0,11.3,4.07,0.0
20050323:0010,0.0,0.0,0.0,10.91,3.79,0.0
20050323:0110,0.0,0.0,0.0,10.19,3.24,0.0
20050323:0210,0.0,0.0,0.0,9.31,3.1,0.0
20050323:0310,0.0,0.0,0.0,8.69,2.97,0.0
20050323:0410,0.0,0.0,0.0,8.2,2.76,0.0
20050323:0510,0.0,0.0,0.0,7.52,2.62,0.0
20050323:0610,0.0,0.0,0.0,7.16,2.48,0.0
20050323:0710,152.73,201.4,13.72,7.84,2.0,0.0
20050323:0810,357.58,429.48,22.46,9.75,1.72,0.0
20050323:0910,543.95,663.34,30.12,12.01,1.45,0.0
20050323:1010,671.11,842.49,36.04,13.7,1.38,0.0
20050323:1110,738.62,941.46,39.47,15.12,1.72,0.0
20050323:1210,732.34,937.86,39.85,15.92,1.72,0.0
20050323:1310,747.32,965.11,37.09,16.45,1.52,0.0
20050323:1410,662.54,839.74,31.69,16.77,1.79,0.0
20050323:1510,533.91,666.0,24.37,16.9,2.21,0.0
20050323:1610,305.64,392.55,15.83,16.61,2.34,0.0
20050323:1710,77.85,130.22,6.62,15.41,2.28,0.0
20050323:1810,0.0,0.0,0.0,13.64,2.83,0.0
20050323:1910,0.0,0.0,0.0,12.86,2.62,0.0
20050323:2010,0.0,0.0,0.0,11.91,2.83,0.0
20050323:2110,0.0,0.0,0.0,11.06,2.76,0.0
20050323:2210,0.0,0.0,0.0,10.29,2.76,0.0
20050323:2310,0.0,0.0,0.0,9.68,2.76,0.0
20050324:0010,0.0,0.0,0.0,9.22,2.76,0.0
20050324:0110,0.0,0.0,0.0,8.87,2.83,0.0
20050324:0210,0.0,0.0,0.0,8.76,2.83,0.0
20050324:0310,0.0,0.0,0.0,8.75,2.9,0.0
20050324:0410,0.0,0.0,0.0,9.01,2.9,0.0
20050324:0510,0.0,0.0,0.0,9.57,2.97,0.0
20050324:0610,0.0,0.0,0.0,9.82,3.03,0.0
20050324:0710,40.96,64.07,14.08,11.1,3.03,0.0
20050324:0810,34.8,56.55,22.83,12.73,2.9,0.0
20050324:0910,414.03,499.98,30.5,14.64,3.52,0.0
20050324:1010,523.31,636.64,36.44,15.88,3.93,0.0
20050324:1110,564.63,691.64,39.88,16.99,4.34,0.0
20050324:1210,386.14,473.05,40.24,17.99,5.24,0.0
20050324:1310,302.79,374.95,37.45,18.44,5.1,0.0
20050324:1410,75.59,107.54,32.01,17.28,4.55,0.0
20050324:1510,40.03,63.97,24.66,16.56,4.07,0.0
20050324:1610,29.23,50.06,16.1,15.65,3.31,0.0
20050324:1710,2.41,11.13,6.88,14.65,3.17,0.0
20050324:1810,0.0,0.0,0.0,13.59,2.97,0.0
20050324:1910,0.0,0.0,0.0,11.91,2.9,0.0
20050324:2010,0.0,0.0,0.0,11.4,2.41,0.0
20050324:2110,0.0,0.0,0.0,10.96,1.93,0.0
20050324:2210,0.0,0.0,0.0,10.56,1.72,0.0
20050324:2310,0.0,0.0,0.0,10.12,2.14,0.0
20050325:0010,0.0,0.0,0.0,9.58,2.48,0.0
20050325:0110,0.0,0.0,0.0,9.18,2.55,0.0
20050325:0210,0.0,0.0,0.0,8.84,2.55,0.0
20050325:0310,0.0,0.0,0.0,8.4,2.41,0.0
20050325:0410,0.0,0.0,0.0,8.01,2.34,0.0
20050325:0510,0.0,0.0,0.0,7.44,2.28,0.0
20050325:0610,0.0,0.0,0.0,7.24,2.21,0.0
20050325:0710,95.69,130.26,14.44,8.84,2.55,0.0
20050325:0810,390.35,465.99,23.2,9.92,2.55,0.0
20050325:0910,537.42,647.32,30.89,11.2,2.14,0.0
20050325:1010,405.07,490.13,36.84,12.17,1.93,0.0
20050325:1110,278.76,342.8,40.28,13.05,1.79,0.0
20050325:1210,178.41,226.66,40.62,13.74,1.79,0.0
20050325:1310,594.44,739.39,37.8,14.09,1.66,0.0
20050325:1410,56.24,83.44,32.33,14.34,1.31,0.0
20050325:1510,43.32,67.68,24.95,14.42,0.83,0.0
20050325:1610,20.19,38.01,16.37,14.28,0.41,0.0
20050325:1710,1.97,10.2,7.14,13.08,0.41,0.0
20050325:1810,0.0,0.0,0.0,12.14,1.03,0.0
20050325:1910,0.0,0.0,0.0,11.14,1.38,0.0
20050325:2010,0.0,0.0,0.0,9.78,1.72,0.0
20050325:2110,0.0,0.0,0.0,8.7,1.72,0.0
20050325:2210,0.0,0.0,0.0,7.69,1.72,0.0
20050325:2310,0.0,0.0,0.0,7.04,1.66,0.0
20050326:0010,0.0,0.0,0.0,6.95,1.52,0.0
20050326:0110,0.0,0.0,0.0,6.3,1.31,0.0
20050326:0210,0.0,0.0,0.0,5.91,1.17,0.0
20050326:0310,0.0,0.0,0.0,5.4,1.24,0.0
20050326:0410,0.0,0.0,0.0,4.97,1.31,0.0
